Year,MsCode,RegCode,Estimate,RSE,LowerCIB,UpperCIB
2019,M001,R001,86.2,4.5,81.6,90.7
2020,M001,R001,86.4,4.6,81.8,90.9
2021,M001,R001,90.6,3.8,86.9,94.4
2019,M001,R002,87.2,1.4,85.8,88.6
2020,M001,R002,88.4,1.6,86.9,90
2021,M001,R002,90.6,1.2,89.4,91.8
2019,M001,R003,83.4,2.4,81,85.7
2020,M001,R003,89,2.2,86.8,91.2
2021,M001,R003,88.5,2.1,86.4,90.6
2019,M001,R004,86.5,2.8,83.7,89.3
2020,M001,R004,90.7,3,87.7,93.7
2021,M001,R004,88,3.1,84.9,91.2
2019,M001,R005,86.4,3.2,83.2,89.6
2020,M001,R005,91.9,2.4,89.5,94.3
2021,M001,R005,91.4,2.7,88.7,94
2019,M001,R006,87.1,4.3,82.9,91.4
2020,M001,R006,88.6,4.5,84.1,93.2
2021,M001,R006,89.2,4.5,84.7,93.7
2019,M001,R007,84.9,2.9,82,87.8
2020,M001,R007,87.1,2.7,84.4,89.7
2021,M001,R007,89.9,2.6,87.4,92.5
2019,M001,R008,90.9,1.6,89.3,92.5
2020,M001,R008,93.4,1.5,91.9,94.9
2021,M001,R008,93,1.9,91.1,94.8
2019,M001,R009,89.1,2.9,86.2,92.1
2020,M001,R009,90.7,3.5,87.2,94.2
2021,M001,R009,94.6,2.2,92.4,96.8
2019,M001,R010,90.7,2,88.7,92.7
2020,M001,R010,92.1,1.7,90.4,93.8
2021,M001,R010,93.4,1.5,92,94.9
2019,M001,R011,89.5,3.8,85.8,93.3
2020,M001,R011,93.9,2.3,91.6,96.2
2021,M001,R011,91.7,3.1,88.6,94.8
2019,M001,R012,88.4,4.2,84.2,92.7
2020,M001,R012,87.6,5.8,81.8,93.5
2021,M001,R012,91.6,3.6,88,95.2
2019,M001,R013,87.6,0.7,87,88.3
2020,M001,R013,90,0.6,89.4,90.6
2021,M001,R013,91,0.6,90.4,91.6
2019,M002,R001,10.3,3.6,6.8,13.9
2020,M002,R001,12.2,5.5,6.7,17.6
2021,M002,R001,7.1,3,4,10.1
2019,M002,R002,9.1,1.2,8,10.3
2020,M002,R002,8.6,1.3,7.3,9.9
2021,M002,R002,7.7,1,6.7,8.7
2019,M002,R003,11.8,1.8,10,13.6
2020,M002,R003,8.3,2,6.3,10.3
2021,M002,R003,9.1,1.9,7.2,11.1
2019,M002,R004,10.6,2.1,8.5,12.7
2020,M002,R004,7.8,2.8,5,10.6
2021,M002,R004,10,2.6,7.4,12.6
2019,M002,R005,11.5,2.9,8.6,14.3
2020,M002,R005,6.3,2.1,4.2,8.4
2021,M002,R005,6.6,2.1,4.5,8.8
2019,M002,R006,11.7,4.3,7.4,16
2020,M002,R006,8.1,3.3,4.8,11.4
2021,M002,R006,10,4.4,5.7,14.4
2019,M002,R007,12.2,2.7,9.5,14.9
2020,M002,R007,9.7,2.6,7.2,12.3
2021,M002,R007,7.7,2.2,5.6,9.9
2019,M002,R008,6.7,1.4,5.3,8.1
2020,M002,R008,4.9,1.2,3.7,6.1
2021,M002,R008,4.8,1.7,3.1,6.5
2019,M002,R009,9.1,3,6.2,12.1
2020,M002,R009,8.1,3.4,4.6,11.5
2021,M002,R009,4.3,2,2.4,6.3
2019,M002,R010,6.5,1.3,5.2,7.8
2020,M002,R010,5.8,1.4,4.4,7.2
2021,M002,R010,5,1.3,3.7,6.2
2019,M002,R011,7,3,4,10
2020,M002,R011,4.1,1.9,2.3,6
2021,M002,R011,6.1,3.1,3,9.2
2019,M002,R012,10.4,4.1,6.4,14.5
2020,M002,R012,8.8,5.2,3.7,14
2021,M002,R012,6.8,2.5,4.3,9.3
2019,M002,R013,9.2,0.6,8.6,9.8
2020,M002,R013,7.6,0.6,7,8.2
2021,M002,R013,7.1,0.5,6.6,7.6
